uid,namedLocation,domainID,siteID,plotType,sampleID,sampleCode,collectDate,lmaSampleID,lmaSampleCode,lmaSampleCondition,scanDate,scannedBy,freshMass,ovenStartDate,ovenEndDate,dryMass,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,remarks,dataQF
"8de32e14-b3b7-4e00-a7a7-d8645e73415d","HARV_035.basePlot.cfc","D01","HARV","tower","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=","A00000000786","2018-09-04T15:09Z","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBfvfO8t8hb7k=",,"OK","2018-09-05T16:02Z","scook@battelleecology.org",0.280,"2018-09-05T16:02Z","2018-09-10T19:32Z",0.090,"llukas@battelleecology.org",45,737.9,100,122.0,0.321,"scook@battelleecology.org",,
"26a814cb-51e1-41e4-90c4-e7af2c89d2a3","HARV_037.basePlot.cfc","D01","HARV","tower","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=","A00000000771","2018-09-04T18:41Z","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJkGPs2pJ/k0w=",,"OK","2018-09-05T16:15Z","scook@battelleecology.org",0.190,"2018-09-05T16:19Z","2018-09-10T19:35Z",0.080,"llukas@battelleecology.org",35,576.4,100,138.8,0.421,"scook@battelleecology.org",,
"a014535b-c647-4878-80a5-f201225bc760","HARV_037.basePlot.cfc","D01","HARV","tower","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=","A00000000770","2018-09-04T20:14Z","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MFw4mmE62bxE=",,"OK","2018-09-05T15:22Z","scook@battelleecology.org",3.420,"2018-09-05T15:48Z","2018-09-10T19:33Z",1.750,"llukas@battelleecology.org",6,17059.1,98,102.6,0.512,"scook@battelleecology.org",,
"b8960311-81a9-4607-b0bf-144286bd8c91","HARV_013.basePlot.cfc","D01","HARV","distributed","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=","A00000000768","2018-09-05T14:07Z","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6kJ4Owz3iAgaiE5Pk+fpOTA==",,"OK","2018-09-06T15:02Z","llukas@battelleecology.org",2.110,"2018-09-06T15:05Z","2018-09-10T19:40Z",1.000,"llukas@battelleecology.org",4,14587.5,99,68.6,0.474,"scook@battelleecology.org",,
"5ef46c00-8bf0-4798-a14e-98418c969f0f","HARV_013.basePlot.cfc","D01","HARV","distributed","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=","A00000000769","2018-09-05T14:50Z","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgC2244UxU/9w=",,"OK","2018-09-06T14:35Z","llukas@battelleecology.org",0.720,"2018-09-06T14:37Z","2018-09-10T19:38Z",0.330,"llukas@battelleecology.org",33,1750.2,100,188.6,0.458,"scook@battelleecology.org",,
"5fd8c523-06c5-4af4-aa0a-7e78480e45d1","HARV_013.basePlot.cfc","D01","HARV","distributed","AVQkM2txccdU9XU1geX3p7dBL1yeO83xJfU2OND+zK4=","A00000000780","2018-09-05T16:06Z","AVQkM2txccdU9XU1geX3p7dBL1yeO83xDnaPTm21Y0I=",,"OK","2018-09-06T14:50Z","llukas@battelleecology.org",2.220,"2018-09-06T14:53Z","2018-09-10T19:39Z",1.190,"llukas@battelleecology.org",5,12106.2,99,98.3,0.536,"scook@battelleecology.org",,
"7270172a-757f-419a-a9b4-10e0f36201a0","HARV_006.basePlot.cfc","D01","HARV","distributed","AVQkM2txccff87SxuZNcE+iY147qeowcrBke51Z5alM=","A00000000765","2018-09-05T18:04Z","AVQkM2txccff87SxuZNcE+iY147qeowccBlSnIx+y9c=",,"OK","2018-09-06T12:57Z","opiscitelli@battelleecology.org",3.740,"2018-09-06T13:13Z","2018-09-10T19:37Z",2.120,"llukas@battelleecology.org",6,19438.5,99,109.1,0.567,"llukas@battelleecology.org",,
"0e351dd3-6a26-4be0-af14-074cea3d4efe","HARV_006.basePlot.cfc","D01","HARV","distributed","AVQkM2txcccbfq2mByGOeXPHFFcT7zucTX5MUkVCdZs=","A00000000747","2018-09-06T13:01Z","AVQkM2txcccbfq2mByGOeXPHFFcT7zucMhVLQVN6EPs=",,"OK","2018-09-07T15:05Z","llukas@battelleecology.org",3.790,"2018-09-07T15:15Z","2018-09-10T19:42Z",1.900,"llukas@battelleecology.org",4,21615.2,98,87.9,0.501,"scook@battelleecology.org",,
"942959c1-e1fe-4357-8c45-262f0f092ee1","HARV_006.basePlot.cfc","D01","HARV","distributed","AVQkM2txccenLB73JxEdacLoLcwaSeCKrDi+Yo1Cuyg=","A00000000764","2018-09-06T14:34Z","AVQkM2txccenLB73JxEdacLoLcwaSeCKSPaKxvGTl+0=",,"OK","2018-09-07T15:38Z","llukas@battelleecology.org",2.800,"2018-09-07T15:41Z","2018-09-10T19:44Z",1.470,"llukas@battelleecology.org",5,15331.2,100,95.9,0.525,"llukas@battelleecology.org","Originally recorded as QURU",
"33dad0b4-ce7e-48c3-9572-8c02612ab5d1","HARV_004.basePlot.cfc","D01","HARV","distributed","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5YNhoGUjrzdg=","A00000000743","2018-09-06T16:56Z","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5bnzPMAb6zPY=",,"OK","2018-09-07T15:47Z","llukas@battelleecology.org",2.980,"2018-09-07T15:48Z","2018-09-10T19:43Z",1.500,"llukas@battelleecology.org",4,15753.3,98,95.2,0.503,"llukas@battelleecology.org",,
