uid,namedLocation,domainID,siteID,plotType,sampleID,sampleCode,collectDate,lmaSampleID,lmaSampleCode,lmaSampleCondition,scanDate,scannedBy,freshMass,ovenStartDate,ovenEndDate,dryMass,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,remarks,dataQF
"3f830303-80e2-4722-ae5b-5976376e39ba","SCBI_005.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2optV4j8vL6Y=",,"2017-07-24T12:29Z","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2rQpHbV08Y6g=",,"OK","2017-07-24T20:15Z","llemmon@field-ops.org",3.108,"2017-07-25T22:00Z","2017-07-28T12:45Z",1.572,"jward@battelleecology.org",3,18126.7,89,86.7,0.506,"mhughes@field-ops.org",,
"ff7bcf9f-66a3-45e7-9135-f1ebcc7d14fb","SCBI_005.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=",,"2017-07-24T13:06Z","HvxvVDlCk18recdnuMUehunN/NlpHPvsrCrVemJtdg3hXHAfverKug==",,"OK","2017-07-24T20:20Z","llemmon@field-ops.org",1.842,"2017-07-25T22:00Z","2017-07-28T12:42Z",0.902,"jward@battelleecology.org",2,11001.0,87,82.0,0.490,"mhughes@field-ops.org",,
"5d752bb8-d81d-4925-b095-1c05cfa89c99","SCBI_005.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRw+6sK11aWqs=",,"2017-07-24T15:09Z","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRMb4CDTGY9n4=",,"OK","2017-07-24T20:30Z","llemmon@field-ops.org",5.022,"2017-07-25T22:00Z","2017-07-28T12:53Z",1.667,"jward@battelleecology.org",3,22112.5,96,75.4,0.332,"mhughes@field-ops.org",,
"b338aeb9-faa5-4098-990c-25b177df50d4","SCBI_004.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oknqmSB0px8=",,"2017-07-25T13:28Z","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1yGPazs82Hv0=",,"OK","2017-07-25T21:18Z","gchapman@neoninc.org",2.324,"2017-07-25T22:00Z","2017-07-28T12:40Z",0.874,"jward@battelleecology.org",1,13428.9,99,65.1,0.376,"mhughes@field-ops.org",,
"183ad016-0077-48d7-b1e3-4d2c0c2bb114","SCBI_004.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcl2hZ7UP3OAE=",,"2017-07-25T13:29Z","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgclcizGZ4uwjb9CmhL1UFrFA==",,"OK","2017-07-25T21:25Z","gchapman@neoninc.org",3.022,"2017-07-25T22:00Z","2017-07-28T12:48Z",1.477,"jward@battelleecology.org",1,14882.7,98,99.2,0.489,"mhughes@field-ops.org",,
"31bfb79e-f036-4442-bf10-e60cd039d795","SCBI_004.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNS/W4G1Iat3s=",,"2017-07-25T14:26Z","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgN+0Gcd9TOmSU=",,"OK","2017-07-25T21:34Z","gchapman@neoninc.org",2.713,"2017-07-25T22:00Z","2017-07-28T12:50Z",1.297,"jward@battelleecology.org",3,12054.3,99,107.6,0.478,"mhughes@field-ops.org",,
"45567871-de0a-4e6e-a8ba-430d1f12501b","SCBI_045.basePlot.cfc","D02","SCBI","tower","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0apRmAwsMvV50=",,"2017-07-25T16:57Z","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0a1a/JAgFiszI=",,"OK","2017-07-25T21:41Z","gchapman@neoninc.org",5.142,"2017-07-25T22:00Z","2017-07-28T13:00Z",2.124,"jward@battelleecology.org",1,24929.3,95,85.2,0.413,"mhughes@field-ops.org",,
"83d74241-3b9e-4a8b-a3ee-a93aafe2e195","SCBI_049.basePlot.cfc","D02","SCBI","tower","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzdzxSLKrdj+4=",,"2017-07-26T13:50Z","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzm+fDMzVMUMQ=",,"OK","2017-07-26T19:30Z","llemmon@field-ops.org",4.892,"2017-07-30T23:45Z","2017-08-04T19:10Z",1.659,"jward@battelleecology.org",3,19852.7,100,83.6,0.339,"mhughes@field-ops.org",,
"dba4f5d5-1683-4a48-a2f1-e3126283035d","SCBI_049.basePlot.cfc","D02","SCBI","tower","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzjRrqnIHDlKA=",,"2017-07-26T15:52Z","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzk/JcMJl6BaY=",,"OK","2017-07-26T19:45Z","llemmon@field-ops.org",3.668,"2017-07-30T23:45Z","2017-08-04T19:12Z",1.647,"jward@battelleecology.org",3,14132.0,100,116.5,0.449,"mhughes@field-ops.org",,
"8f165c72-906a-4cd1-ba92-034ef0d3b0a1","SCBI_049.basePlot.cfc","D02","SCBI","tower","HvxvVDlCk1+KVx888dV2UvUKxPneZWVxjm4EVnGl/t4=",,"2017-07-26T17:54Z","HvxvVDlCk1+KVx888dV2UvUKxPneZWVxSUE2xSO0x2M=",,"OK","2017-07-26T20:00Z","llemmon@field-ops.org",5.611,"2017-07-30T23:45Z","2017-08-04T19:15Z",2.188,"jward@battelleecology.org",1,25888.0,98,84.5,0.390,"mhughes@field-ops.org",,
"7bbb86db-819b-4dfa-a01f-dfc6e5910321","SCBI_010.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk19XvWt6ZGxkDzEwNIwcfNq64SBG3RfAhI4=",,"2017-07-27T14:24Z","HvxvVDlCk19XvWt6ZGxkDzEwNIwcfNq68ZKQ/B/kUeX3vCq8hIBWuw==",,"OK","2017-07-27T21:30Z","llemmon@field-ops.org",2.676,"2017-07-30T23:45Z","2017-08-04T19:00Z",0.857,"mhughes@field-ops.org",2,16293.7,99,52.6,0.320,"mhughes@field-ops.org",,
