uid,namedLocation,domainID,siteID,plotType,sampleID,sampleCode,collectDate,lmaSampleID,lmaSampleCode,lmaSampleCondition,scanDate,scannedBy,freshMass,ovenStartDate,ovenEndDate,dryMass,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,remarks,dataQF
"f624e9ef-d618-40b2-9711-5f1125ea3156","GUAN_048.basePlot.cfc","D04","GUAN","tower","xIqeKa1cF5wQKeCfvLWXTiz29J8MM1ykwpYvE/olIbg=","A00000005679","2018-05-01T15:14Z","xIqeKa1cF5wQKeCfvLWXTiz29J8MM1ykRTJJoMWxE94fInvxE6VHkA==","A00000005917","OK","2018-05-01T21:42Z","tvelazquez-rojas@battelleecology.org",6.470,"2018-05-01T21:42Z","2018-05-07T17:22Z",1.980,"lapontediaz@battelleecology.org",8,24535.8,100,80.7,0.306,"lapontediaz@battelleecology.org",,
"8be72d3e-2659-4564-bab4-c1dac300219f","GUAN_048.basePlot.cfc","D04","GUAN","tower","xIqeKa1cF5wb8aZre4hFDZNYcieXCGMyxQLlZRKnNMA=","A00000005678","2018-05-01T15:20Z","xIqeKa1cF5wb8aZre4hFDZNYcieXCGMy5WO802DaoP8=","A00000005918","OK","2018-05-02T10:43Z","tvelazquez-rojas@battelleecology.org",4.380,"2018-05-02T10:43Z","2018-05-07T17:17Z",0.900,"lapontediaz@battelleecology.org",2,23057.8,100,39.0,0.205,"lapontediaz@battelleecology.org",,
"05b0c546-f193-433d-b93e-5c3b2ae1639b","GUAN_048.basePlot.cfc","D04","GUAN","tower","xIqeKa1cF5wwbgR6i65FNY7hsCdnLiRVdYI2krS+BFw=","A00000005680","2018-05-01T16:08Z","xIqeKa1cF5wwbgR6i65FNY7hsCdnLiRVgwT04AI9DTs=","A00000005919","OK","2018-05-02T10:27Z","tvelazquez-rojas@battelleecology.org",6.370,"2018-05-02T10:27Z","2018-05-07T17:21Z",2.870,"lapontediaz@battelleecology.org",25,23663.8,100,121.3,0.451,"lapontediaz@battelleecology.org",,
"3c573678-f1ab-4c15-81c8-029496344798","GUAN_005.basePlot.cfc","D04","GUAN","distributed","xIqeKa1cF5x6PcWF6xZTvEpNJ3mJhEACWg8RbYWNFok=","A00000007239","2018-05-02T12:08Z","xIqeKa1cF5x6PcWF6xZTvEpNJ3mJhEACTpxhrr7UVks=","A00000005818","OK","2018-05-03T13:41Z","tvelazquez-rojas@battelleecology.org",3.610,"2018-05-03T13:42Z","2018-05-07T17:24Z",0.910,"lapontediaz@battelleecology.org",4,18426.9,100,49.4,0.252,"lapontediaz@battelleecology.org",,
"4025135d-e178-47cc-a1e7-56c7c6bf47e2","GUAN_005.basePlot.cfc","D04","GUAN","distributed","xIqeKa1cF5yPeCgRPNNu6TFE94uI0Tf9YGACYUvroDA=","A00000007240","2018-05-02T12:25Z","xIqeKa1cF5yPeCgRPNNu6TFE94uI0Tf9dTwFrUsXf+V8UJl6Pc84pg==","A00000005817","OK","2018-05-03T13:05Z","tvelazquez-rojas@battelleecology.org",5.210,"2018-05-03T13:11Z","2018-05-07T17:02Z",1.510,"lapontediaz@battelleecology.org",15,21270.3,100,71.0,0.290,"lapontediaz@battelleecology.org",,
"95a98da1-9940-4f26-a352-a19a7b6386d7","GUAN_005.basePlot.cfc","D04","GUAN","distributed","xIqeKa1cF5x6PcWF6xZTvNKt/EhEiAWWoKdFND3pnKw=","A00000007254","2018-05-02T12:57Z","xIqeKa1cF5x6PcWF6xZTvNKt/EhEiAWW1j0SgEdp12U=","A00000005813","OK","2018-05-03T12:41Z","tvelazquez-rojas@battelleecology.org",4.130,"2018-05-03T12:41Z","2018-05-07T17:10Z",0.970,"tvelazquez-rojas@battelleecology.org",3,21080.1,100,46.0,0.235,"tvelazquez-rojas@battelleecology.org",,
"ef161c89-a2c5-481c-928e-ef5f333053c1","GUAN_006.basePlot.cfc","D04","GUAN","distributed","xIqeKa1cF5wjN81kTMTliYHZpx4L5DaZ7pL+xCNZ2cM=","A00000007238","2018-05-02T13:49Z","xIqeKa1cF5wjN81kTMTliYHZpx4L5DaZALkHmWzXtdI=","A00000005816","OK","2018-05-02T18:30Z","tvelazquez-rojas@battelleecology.org",3.780,"2018-05-02T18:31Z","2018-05-07T16:52Z",0.990,"lapontediaz@battelleecology.org",4,76335.5,100,13.0,0.262,"lapontediaz@battelleecology.org",,
"cbbcfb2f-5db8-4e41-b237-1c7cf157baf7","GUAN_006.basePlot.cfc","D04","GUAN","distributed","xIqeKa1cF5yy0iCHo68yjXG2NRybj3d+bhbTP1Jbu7o=","A00000007253","2018-05-02T13:58Z","xIqeKa1cF5yy0iCHo68yjXG2NRybj3d+JZCGsbWIaeE=","A00000005814","OK","2018-05-02T18:23Z","tvelazquez-rojas@battelleecology.org",4.310,"2018-05-02T18:23Z","2018-05-07T16:49Z",2.230,"lapontediaz@battelleecology.org",5,68707.7,100,32.5,0.517,"lapontediaz@battelleecology.org",,
"c1cd3b54-4f7a-42ca-8c8f-77e6903c6223","GUAN_006.basePlot.cfc","D04","GUAN","distributed","xIqeKa1cF5yd5Y4jHTwwj3GtypZci34bZUTYzRerIvQ=","A00000007237","2018-05-02T14:04Z","xIqeKa1cF5yd5Y4jHTwwj3GtypZci34biooLyIgyda0=","A00000005815","OK","2018-05-02T18:09Z","tvelazquez-rojas@battelleecology.org",4.560,"2018-05-02T18:09Z","2018-05-07T16:53Z",2.240,"lapontediaz@battelleecology.org",28,89328.2,100,25.1,0.491,"lapontediaz@battelleecology.org",,
"02fe5e2e-9109-4ca2-b1b6-fe696ed34b67","GUAN_009.basePlot.cfc","D04","GUAN","distributed","xIqeKa1cF5yFM43w6tf90BBTZuyu3mkKo/3jPW7xmlE=",,"2018-05-02T15:54Z","xIqeKa1cF5yFM43w6tf90BBTZuyu3mkKZOSTZwcrrjY=","A00000005821","OK","2018-05-03T14:38Z","tvelazquez-rojas@battelleecology.org",0.490,"2018-05-03T14:45Z","2018-05-07T17:18Z",0.230,"lapontediaz@battelleecology.org",1,2233.5,100,103.0,0.469,"lapontediaz@battelleecology.org","Treated as needles",
"e6ea9fb6-504b-494d-ba0c-95cd896c2455","GUAN_009.basePlot.cfc","D04","GUAN","distributed","xIqeKa1cF5zndmx1vcsWkkLyDyi82MtPhFkhQo8lUOA=",,"2018-05-02T16:26Z","xIqeKa1cF5zndmx1vcsWkkLyDyi82MtPpEs3AFx1ZNc=","A00000005819","OK","2018-05-03T13:55Z","tvelazquez-rojas@battelleecology.org",3.580,"2018-05-03T14:02Z","2018-05-07T16:57Z",1.470,"lapontediaz@battelleecology.org",10,16842.0,100,87.3,0.411,"lapontediaz@battelleecology.org",,
"f08ce700-4380-40c7-843b-9b2a2c422ff8","GUAN_009.basePlot.cfc","D04","GUAN","distributed","xIqeKa1cF5wASyZIQOWF2wuDYyZSHwAZ1iaHOWDU3LI=",,"2018-05-02T16:52Z","xIqeKa1cF5wASyZIQOWF2wuDYyZSHwAZo3eUt7+VG1W1BUwbPH5IEw==","A00000005820","OK","2018-05-03T14:15Z","tvelazquez-rojas@battelleecology.org",1.400,"2018-05-03T14:17Z","2018-05-07T16:58Z",0.590,"lapontediaz@battelleecology.org",4,10145.8,100,58.2,0.421,"lapontediaz@battelleecology.org",,
