uid,namedLocation,domainID,siteID,plotType,sampleID,sampleCode,collectDate,lmaSampleID,lmaSampleCode,lmaSampleCondition,scanDate,scannedBy,freshMass,ovenStartDate,ovenEndDate,dryMass,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,remarks,dataQF
"9d9d06eb-5716-4db5-b5ec-1d67a18aea0d","MLBS_061.basePlot.cfc","D07","MLBS","tower","gv/1/Di3XvFTqEI7hs3lyU6EUYKptnufiYcmBMGcKtM=","A00000012510","2018-06-18T13:16Z","gv/1/Di3XvFTqEI7hs3lyU6EUYKptnufO4UA3f5hVjw=","A00000011730","OK","2018-06-22T16:56Z","cmorgan01@battelleecology.org",3.783,"2018-06-22T17:30Z","2018-07-16T17:30Z",1.630,"lsmith@battelleecology.org",6,15806.4,100,103.1,0.431,"lsmith@battelleecology.org",,
"ac7a8455-351e-4489-8114-a1febd6df427","MLBS_061.basePlot.cfc","D07","MLBS","tower","gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvg2kcspFw1bw=","A00000012528","2018-06-18T14:27Z","gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzv9sG78zILlDs=",,"OK","2018-06-22T16:52Z","cmorgan01@battelleecology.org",2.441,"2018-06-22T17:30Z","2018-07-16T17:30Z",1.135,"lsmith@battelleecology.org",6,13916.9,100,81.6,0.465,"lsmith@battelleecology.org",,
"878f447e-1e12-4182-9c94-2bc7d8dee491","MLBS_009.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQYGzjC3Kk2MA=","A00000012198","2018-06-18T18:35Z","gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQSh1XaofUTpQ=","A00000011752","OK","2018-06-22T17:08Z","cmorgan01@battelleecology.org",3.676,"2018-06-22T17:30Z","2018-07-18T17:37Z",1.627,"lsmith@battelleecology.org",3,16893.3,100,96.3,0.443,"lsmith@battelleecology.org",,
"0026d607-16ae-4cff-8989-7f3cc78e42b2","MLBS_009.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8FYSc6il2NZA=","A00000012261","2018-06-18T18:59Z","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8YeYlwSyvDtk=",,"OK","2018-06-22T17:13Z","cmorgan01@battelleecology.org",3.864,"2018-06-22T17:30Z","2018-07-18T17:37Z",1.683,"lsmith@battelleecology.org",4,15421.3,100,109.1,0.436,"lsmith@battelleecology.org",,
"5d1f00b5-eb35-40b2-8443-b688404ef714","MLBS_009.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zT0F6OY71J6HU=","A00000012526","2018-06-18T19:40Z","gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zTCB99+PIoBuA=","A00000011750","OK","2018-06-22T17:00Z","cmorgan01@battelleecology.org",4.751,"2018-06-22T17:30Z","2018-07-18T17:37Z",2.094,"lsmith@battelleecology.org",4,17089.2,100,122.5,0.441,"lsmith@battelleecology.org",,
"e6d526df-472a-4f1f-afdd-329ff765b2ec","MLBS_061.basePlot.cfc","D07","MLBS","tower","gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfxi/Hn7wGjyQg=","A00000012211","2018-06-18T20:43Z","gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfxrTguDDNaZKo=","A00000011729","OK","2018-06-22T17:04Z","cmorgan01@battelleecology.org",3.204,"2018-06-22T17:30Z","2018-07-16T17:30Z",1.535,"lsmith@battelleecology.org",12,21240.7,100,72.3,0.479,"lsmith@battelleecology.org",,
"5ca871a3-fad4-4acd-896b-a42d44dac4f7","MLBS_063.basePlot.cfc","D07","MLBS","tower","gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFrhBSRC5YC8s=","A00000012511","2018-06-19T11:43Z","gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFXHh+L364Rlw=","A00000011736","OK","2018-06-22T15:57Z","cmorgan01@battelleecology.org",5.135,"2018-06-22T17:30Z","2018-07-16T17:15Z",2.279,"lsmith@battelleecology.org",4,17962.4,100,126.9,0.444,"lsmith@battelleecology.org",,
"a3f0438f-bb0b-4763-b6cd-28346bfae83d","MLBS_063.basePlot.cfc","D07","MLBS","tower","gv/1/Di3XvFIAAmccByPPzLrCbRZO/U55h9TSSDCP3A=","A00000012529","2018-06-19T12:26Z","gv/1/Di3XvFIAAmccByPPzLrCbRZO/U5t/LYb+Kc05U=","A00000011735","OK","2018-06-22T14:08Z","cmorgan01@battelleecology.org",4.664,"2018-06-22T17:30Z","2018-07-16T17:15Z",1.974,"lsmith@battelleecology.org",3,18595.0,100,106.2,0.423,"lsmith@battelleecology.org",,
"5c404a53-0beb-480e-abbb-07a6745c140a","MLBS_064.basePlot.cfc","D07","MLBS","tower","gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmIxQ48I4EIoJ0=","A00000012213","2018-06-19T15:23Z","gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmIDcWqXzj5NgA=","A00000011743","OK","2018-06-22T16:35Z","cmorgan01@battelleecology.org",2.811,"2018-06-22T17:30Z","2018-07-16T17:00Z",1.327,"lsmith@battelleecology.org",5,14862.6,100,89.3,0.472,"lsmith@battelleecology.org",,
"6a4ff688-44ef-4458-b67e-b0e5bb8a9f79","MLBS_064.basePlot.cfc","D07","MLBS","tower","gv/1/Di3XvG/XeKiDq533uNglmG8SbKPUanvIM72QHg=","A00000012512","2018-06-19T17:01Z","gv/1/Di3XvG/XeKiDq533uNglmG8SbKPSwYDC/rYIsQ=","A00000011739","OK","2018-06-22T16:29Z","cmorgan01@battelleecology.org",3.124,"2018-06-22T17:30Z","2018-07-16T17:00Z",1.331,"lsmith@battelleecology.org",2,12726.0,100,104.6,0.426,"lsmith@battelleecology.org",,
"04efa8fc-1e94-4fae-b03f-1e51b75fd3d2","MLBS_064.basePlot.cfc","D07","MLBS","tower","gv/1/Di3XvFqdJpFZdQ75VR4GtLQwkBqpjPJI36iV0E=","A00000012530","2018-06-19T17:45Z","gv/1/Di3XvFqdJpFZdQ75VR4GtLQwkBqsa1MS7Xlrjs=","A00000011738","OK","2018-06-22T16:02Z","cmorgan01@battelleecology.org",4.534,"2018-06-22T17:30Z","2018-07-16T17:00Z",1.990,"lsmith@battelleecology.org",5,18514.3,100,107.5,0.439,"lsmith@battelleecology.org",,
"124ac685-28b8-4888-a2ba-4fa008217c99","MLBS_063.basePlot.cfc","D07","MLBS","tower","gv/1/Di3XvH43usIH9/MyGpoLUN1vmKwyNhPYIONB68=","A00000012212","2018-06-19T19:02Z","gv/1/Di3XvH43usIH9/MyGpoLUN1vmKweqhXo3o1o5I=","A00000011737","OK","2018-06-22T15:47Z","cmorgan01@battelleecology.org",2.439,"2018-06-22T17:30Z","2018-07-16T17:15Z",1.211,"lsmith@battelleecology.org",11,17052.0,100,71.0,0.497,"lsmith@battelleecology.org",,
"316bc88f-ba1b-4716-b0e0-5be76c9eba79","MLBS_004.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvE8vLvbZ0C+NZd/S/k+JT5Gw4vmDjX9vQ0=","A00000012193","2018-06-20T11:26Z","gv/1/Di3XvE8vLvbZ0C+NZd/S/k+JT5GOkfFjdwSKw8=","A00000011636","OK","2018-06-22T15:41Z","cmorgan01@battelleecology.org",3.513,"2018-06-22T17:30Z","2018-07-18T18:13Z",1.492,"lsmith@battelleecology.org",3,15257.6,100,97.8,0.425,"lsmith@battelleecology.org",,
"50f2e891-b24b-4a5e-9ca9-ada6d06316e3","MLBS_004.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvGn0b286CZVHHZ1Rg3E13Vvgls/7NeCIKw=","A00000012245","2018-06-20T12:15Z","gv/1/Di3XvGn0b286CZVHHZ1Rg3E13VvsdZVfTe2ay8=","A00000011637","OK","2018-06-22T15:31Z","cmorgan01@battelleecology.org",2.753,"2018-06-22T17:30Z","2018-07-18T18:13Z",1.197,"lsmith@battelleecology.org",5,17552.0,100,68.2,0.435,"lsmith@battelleecology.org",,
"6ea7cf17-4afb-4d5a-94c0-5cbc455b0bb9","MLBS_004.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvEr5UL7fnWRP65dCrIiiByh0iOS8q3daxM=","A00000012517","2018-06-20T13:29Z","gv/1/Di3XvEr5UL7fnWRP65dCrIiiByhf1uWvMAenCM=","A00000012181","OK","2018-06-22T15:23Z","cmorgan01@battelleecology.org",2.031,"2018-06-22T17:30Z","2018-07-18T18:14Z",0.822,"lsmith@battelleecology.org",1,10496.0,100,78.3,0.405,"lsmith@battelleecology.org",,
"3537ecf4-38e4-49f8-9c75-fdb2da51d2a3","MLBS_008.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvGiGQlUFc+uCU+P8T5wjxhbwZd+UbiTwic=","A00000012197","2018-06-20T14:42Z","gv/1/Di3XvGiGQlUFc+uCU+P8T5wjxhbzOMuRciTdKA=","A00000011754","OK","2018-06-22T15:14Z","cmorgan01@battelleecology.org",4.711,"2018-06-22T17:30Z","2018-07-18T17:47Z",1.510,"lsmith@battelleecology.org",3,22765.0,100,66.3,0.320,"lsmith@battelleecology.org",,
"68cf91f7-564d-4b85-81fc-52eb70335a3e","MLBS_008.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvGiGQlUFc+uCZpbk98VpY36w3dAjRxIEzw=","A00000012248","2018-06-20T15:10Z","gv/1/Di3XvGiGQlUFc+uCZpbk98VpY36R+9aDtk1xS0=","A00000011755","OK","2018-06-22T15:06Z","cmorgan01@battelleecology.org",4.679,"2018-06-22T17:30Z","2018-07-18T17:47Z",1.335,"lsmith@battelleecology.org",2,23023.7,100,58.0,0.285,"lsmith@battelleecology.org",,
"99488e86-f00c-4cf4-9db6-d6ec261d3024","MLBS_008.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvGiGQlUFc+uCYKAYxBJv7Y7ka4dF6yMvDg=","A00000012521","2018-06-20T15:37Z","gv/1/Di3XvGiGQlUFc+uCYKAYxBJv7Y7lrM72gGpnu4=","A00000011756","OK","2018-06-22T14:56Z","cmorgan01@battelleecology.org",5.057,"2018-06-22T17:30Z","2018-07-18T17:47Z",1.616,"lsmith@battelleecology.org",2,22669.3,100,71.3,0.320,"lsmith@battelleecology.org",,
"0c60b420-4a5b-4180-836c-16ed680a431a","MLBS_007.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvFGUoPnUGsFYIPb8/i7ah2RmgjxFl7aJww=","A00000012196","2018-06-20T17:58Z","gv/1/Di3XvFGUoPnUGsFYIPb8/i7ah2RohDDUXsOBo4=","A00000011745","OK","2018-06-22T14:43Z","cmorgan01@battelleecology.org",2.625,"2018-06-22T17:30Z","2018-07-18T17:53Z",1.213,"lsmith@battelleecology.org",4,12437.5,100,97.5,0.462,"lsmith@battelleecology.org",,
"fee2c6c8-1ccd-4120-a6e4-2da4df0836cf","MLBS_007.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvFGUoPnUGsFYFaOXc2fXj14FXdAcEeJdnQ=","A00000012246","2018-06-20T19:34Z","gv/1/Di3XvFGUoPnUGsFYFaOXc2fXj14pIswPF/uxko=","A00000011747","OK","2018-06-22T14:30Z","cmorgan01@battelleecology.org",4.035,"2018-06-22T17:30Z","2018-07-18T17:54Z",1.849,"lsmith@battelleecology.org",2,15989.6,100,115.6,0.458,"lsmith@battelleecology.org",,
"02a072db-ad64-49e3-aa37-3154a748bccf","MLBS_007.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvFQkGvmBfP/Xnm8lu17YBlu2SPPf9zCw+s=","A00000012520","2018-06-20T20:03Z","gv/1/Di3XvFQkGvmBfP/Xnm8lu17YBlupjRFa334zYs=","A00000011746","OK","2018-06-22T14:24Z","cmorgan01@battelleecology.org",2.754,"2018-06-22T17:30Z","2018-07-18T17:54Z",1.336,"lsmith@battelleecology.org",2,12569.0,100,106.3,0.485,"lsmith@battelleecology.org",,
"fbe8243a-de41-40f2-b3de-e40d49ab1bac","MLBS_067.basePlot.cfc","D07","MLBS","tower","gv/1/Di3XvGuZzx1FjU753RDy4OIxozxiqsfMBMELV8=","A00000012214","2018-06-21T13:15Z","gv/1/Di3XvGuZzx1FjU753RDy4OIxozxg4GE7TkBq5c=","A00000011749","OK","2018-06-22T13:58Z","cmorgan01@battelleecology.org",6.098,"2018-06-22T17:30Z","2018-07-16T16:45Z",2.403,"lsmith@battelleecology.org",4,18435.7,100,130.3,0.394,"lsmith@battelleecology.org",,
"281ef516-f676-4015-9c83-a11cdb7c07f8","MLBS_067.basePlot.cfc","D07","MLBS","tower","gv/1/Di3XvElQjB9PeqBBLohiUb1X/dR4cp/wp6LXFs=","A00000012513","2018-06-21T14:05Z","gv/1/Di3XvElQjB9PeqBBLohiUb1X/dRd/LRmWeIgkY=","A00000011748","OK","2018-06-22T13:45Z","cmorgan01@battelleecology.org",3.788,"2018-06-22T17:30Z","2018-07-16T16:45Z",1.640,"lsmith@battelleecology.org",4,20143.2,100,81.4,0.433,"lsmith@battelleecology.org",,
"8261f5c8-a08d-4b3c-936f-b45fe6351819","MLBS_067.basePlot.cfc","D07","MLBS","tower","gv/1/Di3XvFzGlWy8/wE3ilG4PQuaho2hAC4JdvA/Fk=","A00000012531","2018-06-21T14:40Z","gv/1/Di3XvFzGlWy8/wE3ilG4PQuaho2lmkDo/B25uo=","A00000011744","OK","2018-06-22T13:28Z","cmorgan01@battelleecology.org",4.140,"2018-06-22T17:30Z","2018-07-16T16:45Z",1.698,"lsmith@battelleecology.org",5,14945.3,100,113.6,0.410,"lsmith@battelleecology.org",,
"4d1a1cdc-c410-4b65-b5fb-4d64d218fc17","MLBS_006.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvFmJEE349yKH3RiArYnImHZrP8woNT2Txk=","A00000012519","2018-06-25T18:20Z","gv/1/Di3XvFmJEE349yKH3RiArYnImHZaIHdvXlfEk6pO/0KKj3OUw==","A00000011740","OK","2018-06-29T14:51Z","agifford@battelleecology.org",1.500,"2018-06-29T14:52Z","2018-07-18T18:00Z",0.703,"lsmith@battelleecology.org",24,2245.0,100,313.1,0.469,"lsmith@battelleecology.org",,
"edfd40d1-6d2b-4d66-bc90-cee4eeffbe6c","MLBS_006.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvFmJEE349yKH5i7cabi61zSKmqxprSDlMg=","A00000012195","2018-06-25T19:15Z","gv/1/Di3XvFmJEE349yKH5i7cabi61zSTs6d+/WULKhceJIGxbAJjA==","A00000011741","OK","2018-06-29T14:40Z","agifford@battelleecology.org",1.230,"2018-06-29T14:42Z","2018-07-18T18:00Z",0.563,"lsmith@battelleecology.org",30,1599.9,100,351.9,0.458,"lsmith@battelleecology.org",,
"ae230d78-ade9-41ef-b7a3-efb8868f4402","MLBS_006.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvFmJEE349yKH4SporpX+KfUkGAzZFDbusY=","A00000012232","2018-06-25T20:00Z","gv/1/Di3XvFmJEE349yKH4SporpX+KfUXQkJQj2ckqI60WHUJnm6Ag==","A00000011742","OK","2018-06-29T14:43Z","agifford@battelleecology.org",0.795,"2018-06-29T14:47Z","2018-07-18T18:00Z",0.357,"lsmith@battelleecology.org",21,1051.0,100,339.7,0.449,"lsmith@battelleecology.org",,
"057ab2e3-959c-4ee8-8cd9-5b6a143465a2","MLBS_010.basePlot.cfc","D07","MLBS","distributed","gv/1/Di3XvEsS/ifmYVa1vtSSZDKqecxWOh7kCWb+h0=","A00000012210","2018-06-26T13:30Z","gv/1/Di3XvEsS/ifmYVa1vtSSZDKqecxC9fm5Y4dRTI=","A00000012179","OK","2018-06-29T14:53Z","agifford@battelleecology.org",2.587,"2018-06-29T14:59Z","2018-07-16T17:40Z",1.072,"lsmith@battelleecology.org",3,12929.6,100,82.9,0.414,"lsmith@battelleecology.org",,
