uid,namedLocation,domainID,siteID,plotType,sampleID,sampleCode,collectDate,lmaSampleID,lmaSampleCode,lmaSampleCondition,scanDate,scannedBy,freshMass,ovenStartDate,ovenEndDate,dryMass,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,remarks,dataQF
"83102c52-04bd-48ca-a7b4-3c1beaeb8ad3","WREF_012.basePlot.cfc","D16","WREF","distributed","9Q2HJihgWLXkj3CD16Qz2/TrmCmYB8mXosqMsMsRXZs=","A00000060532","2019-07-15T20:10Z","9Q2HJihgWLXkj3CD16Qz2/TrmCmYB8mXWIhQ8YRDp8YUtitj5Svs6A==","A00000105662","OK","2019-07-17T17:16Z","0000-0001-9947-8001",0.890,"2019-07-17T17:22Z","2019-07-29T22:38Z",0.454,"0000-0001-8510-4041",88,1740.4,100,260.9,0.510,"0000-0001-8510-4041",,
"a53cc6b5-32ac-4ee2-97eb-28fd483ba2d1","WREF_016.basePlot.cfc","D16","WREF","distributed","9Q2HJihgWLVoqw+4VopyFRhK+n9jwdbof07gQkt0W40=","A00000106132","2019-07-16T17:22Z","9Q2HJihgWLVoqw+4VopyFRhK+n9jwdbopFaMq9ia+dk=","A00000105657","OK","2019-07-17T17:37Z","0000-0001-9947-8001",0.550,"2019-07-17T17:43Z","2019-07-29T22:36Z",0.304,"0000-0001-8510-4041",79,955.0,100,318.3,0.553,"0000-0001-8510-4041",,
"2c0d5acd-1f1c-4831-97b4-7780d4351902","WREF_016.basePlot.cfc","D16","WREF","distributed","9Q2HJihgWLWri5SGwBhyzwJh6tC8RM9VFTt5/11swDI=","A00000106148","2019-07-16T17:45Z","9Q2HJihgWLWri5SGwBhyzwJh6tC8RM9V7rGS6zBeOwnZYjP1wjIF2w==","A00000105658","OK","2019-07-17T18:00Z","0000-0001-9947-8001",0.710,"2019-07-17T18:03Z","2019-07-29T22:35Z",0.390,"0000-0001-8510-4041",66,1282.0,100,304.2,0.549,"0000-0001-8510-4041",,
"949b480b-b1a6-4fbc-94b5-44aa8adfd91f","WREF_019.basePlot.cfc","D16","WREF","distributed","9Q2HJihgWLVbcGqJFA9Ry0ENZVgOkZkix8WwKI32nrA=","A00000060546","2019-07-16T17:59Z","9Q2HJihgWLVbcGqJFA9Ry0ENZVgOkZkipZouTqJcWXdxKhPjsHUsbg==","A00000105661","OK","2019-07-17T19:13Z","0000-0001-9947-8001",0.696,"2019-07-17T19:13Z","2019-07-29T22:29Z",0.333,"0000-0001-8510-4041",86,2331.1,100,142.9,0.478,"0000-0001-8510-4041",,
"86837bf3-5ba6-401b-9206-b6e4f5abba0d","WREF_019.basePlot.cfc","D16","WREF","distributed","9Q2HJihgWLWfapWu+P0gf9pD5JP2c/YKsBpzlXkG0Cc=","A00000060548","2019-07-16T20:12Z","9Q2HJihgWLWfapWu+P0gf9pD5JP2c/YK2myVWuZAcGg=","A00000105664","OK","2019-07-17T15:38Z","0000-0001-9947-8001",1.230,"2019-07-17T16:13Z","2019-07-29T22:26Z",0.643,"0000-0001-8510-4041",82,2478.6,100,259.4,0.523,"0000-0001-8510-4041",,
"01e64706-c701-48a3-870d-cb638b5ae470","WREF_004.basePlot.cfc","D16","WREF","distributed","9Q2HJihgWLXulDXtPAQqU+spVA5oSIpplfz89UFtLO8=","A00000106149","2019-07-16T20:20Z","9Q2HJihgWLXulDXtPAQqU+spVA5oSIpppNcB0yCypIfz43T0yzSzNg==","A00000105655","OK","2019-07-17T18:51Z","0000-0001-9947-8001",0.881,"2019-07-17T18:55Z","2019-07-29T22:42Z",0.429,"0000-0001-8510-4041",58,1918.4,100,223.6,0.487,"0000-0001-8510-4041",,
"dd9d85ed-b972-4098-bf66-ca7367349b25","WREF_019.basePlot.cfc","D16","WREF","distributed","9Q2HJihgWLVIJ+D+b/OvLzkLgQGx0jij/xPYgL9hJ0Q=","A00000060550","2019-07-16T20:48Z","9Q2HJihgWLVIJ+D+b/OvLzkLgQGx0jijNYqqqRpDH6dR2PmDJkhIug==","A00000105663","OK","2019-07-17T16:31Z","0000-0001-9947-8001",0.650,"2019-07-17T16:38Z","2019-07-29T22:39Z",0.351,"0000-0001-8510-4041",89,1519.4,100,231.0,0.540,"0000-0001-8510-4041",,
"07b6687b-0af2-4e50-aa53-30f5ff13efe6","WREF_015.basePlot.cfc","D16","WREF","distributed","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5YkYqA6hTZWAvs=","A00000106133","2019-07-16T22:26Z","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5Yktm7lCHtFdH4=","A00000105659","OK","2019-07-17T18:19Z","0000-0001-9947-8001",0.710,"2019-07-17T18:22Z","2019-07-29T22:31Z",0.340,"0000-0001-8510-4041",84,1313.2,100,258.9,0.479,"0000-0001-8510-4041",,
"744a3535-d389-4d10-8333-cf54a5f62f34","WREF_015.basePlot.cfc","D16","WREF","distributed","9Q2HJihgWLUR5wb3Dgvw3w8k3vzW4MJ/t7+BQ0tbbhM=","A00000106150","2019-07-16T22:36Z","9Q2HJihgWLUR5wb3Dgvw3w8k3vzW4MJ/ggzCgW9+A+xXxCXPiAjElw==","A00000105660","OK","2019-07-17T18:34Z","0000-0001-9947-8001",0.592,"2019-07-17T18:38Z","2019-07-29T22:33Z",0.455,"0000-0001-8510-4041",80,1620.1,100,280.9,0.769,"0000-0001-8510-4041",,
"1620e868-9c8e-4c53-b54f-b64a1d1f0670","WREF_011.basePlot.cfc","D16","WREF","distributed","9Q2HJihgWLWUa7EMozParjkvVSb4vTvD7gZJ/iZe/kY=","A00000106147","2019-07-17T17:15Z","9Q2HJihgWLWUa7EMozParjkvVSb4vTvDVTaXHn4yOUrrXcf6LH+qGg==","A00000106317","OK","2019-07-24T18:24Z","0000-0001-8510-4041",0.679,"2019-07-24T18:24Z","2019-07-29T22:19Z",0.393,"0000-0001-8510-4041",46,1108.5,100,354.5,0.579,"0000-0001-8510-4041",,
