uid,namedLocation,domainID,siteID,plotType,sampleID,sampleCode,collectDate,lmaSampleID,lmaSampleCode,lmaSampleCondition,scanDate,scannedBy,freshMass,ovenStartDate,ovenEndDate,dryMass,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,remarks,dataQF
"e719e5a3-6c61-4ec6-9d35-69b7be0391a8","SJER_047.basePlot.cfc","D17","SJER","tower","2kN0Z0OxE8E+lZV9RHONKqDs6ZKapv+0u7oG7Emx5WE=",,"2019-03-20T16:30Z","2kN0Z0OxE8E+lZV9RHONKqDs6ZKapv+0o7vKDAPSUCcP66Cv7katJg==",,"OK","2019-03-21T23:45Z","0000-0003-0607-4441",3.394,"2019-03-21T23:50Z","2019-04-03T18:47Z",1.698,"0000-0001-5494-1832",24,7800.6,100,217.7,0.500,"0000-0003-0607-4441",,
"01eb4f6e-272f-4777-9d2c-6211f222c8bf","SJER_047.basePlot.cfc","D17","SJER","tower","2kN0Z0OxE8GnauhgI/8jSJpeoaSip4Y/FCxFs7NemNc=",,"2019-03-20T16:47Z","2kN0Z0OxE8GnauhgI/8jSJpeoaSip4Y/3WmXmP2PszRUQ18OaEgvrw==",,"OK","2019-03-21T22:20Z","0000-0003-0607-4441",2.359,"2019-03-21T23:50Z","2019-04-03T18:55Z",0.921,"0000-0001-5494-1832",20,9870.2,100,93.3,0.390,"0000-0003-0607-4441",,
"f6d7e935-dfe9-4fcc-9de9-447abbcba1c3","SJER_047.basePlot.cfc","D17","SJER","tower","2kN0Z0OxE8EX0dPugoM0gEE18+LRfi1RArlKGlYLvwE=",,"2019-03-20T17:32Z","2kN0Z0OxE8EX0dPugoM0gEE18+LRfi1R6DH5Y0J3Qz8=",,"OK","2019-03-21T23:03Z","0000-0003-0607-4441",0.674,"2019-03-21T23:50Z","2019-04-03T17:34Z",0.162,"0000-0001-5494-1832",18,4415.3,100,36.7,0.240,"0000-0003-0607-4441",,
"38aeb64d-6b93-438f-bf3e-4d53077cb59f","SJER_046.basePlot.cfc","D17","SJER","tower","2kN0Z0OxE8F0itnBgnoWQ2DjhXjI2smSUTLiITwlIzo=",,"2019-03-21T17:26Z","2kN0Z0OxE8F0itnBgnoWQ2DjhXjI2smSljDaDcxCdOLyM2MepCOO3Q==",,"OK","2019-03-25T20:34Z","0000-0001-7920-7757",6.847,"2019-03-25T22:00Z","2019-04-02T21:14Z",4.202,"0000-0002-0287-3871",80,23269.0,100,180.6,0.614,"0000-0003-1062-1081",,
"29723b64-55bc-4b86-9877-b84e2ae110aa","SJER_046.basePlot.cfc","D17","SJER","tower","2kN0Z0OxE8EqZNFhaFHoFVaMnPgYDebiV1hjVWHZ0RA=",,"2019-03-21T17:55Z","2kN0Z0OxE8EqZNFhaFHoFVaMnPgYDebiBb+RBaVz8IqYGXfkto7oNw==",,"OK","2019-03-25T20:52Z","0000-0001-7920-7757",8.746,"2019-03-25T22:00Z","2019-04-02T21:19Z",5.553,"0000-0002-0287-3871",32,18918.4,100,293.5,0.635,"0000-0003-1062-1081",,
"e6ea174b-933f-4dfb-a6af-9ed9e0eac8b7","SJER_046.basePlot.cfc","D17","SJER","tower","2kN0Z0OxE8FrgGadQFQgjyNFoYubzkbft7HCelRuUzE=",,"2019-03-21T18:26Z","2kN0Z0OxE8FrgGadQFQgjyNFoYubzkbfK5rOBIJ8dng=",,"OK","2019-03-25T21:45Z","0000-0001-7920-7757",0.943,"2019-03-25T22:00Z","2019-04-02T21:05Z",0.321,"0000-0002-0287-3871",28,7044.5,100,45.5,0.340,"0000-0003-1062-1081",,
"fdaec682-c54b-4389-8244-df9efcba998c","SJER_045.basePlot.cfc","D17","SJER","tower","2kN0Z0OxE8Eu4tQpkUVPsADW0gceKEmBYhhOnri9nEA=",,"2019-03-21T19:23Z","2kN0Z0OxE8Eu4tQpkUVPsADW0gceKEmBjqJsD3RHO2g=",,"OK","2019-03-25T18:17Z","0000-0001-7920-7757",4.672,"2019-03-25T22:00Z","2019-04-02T21:12Z",2.701,"0000-0002-0287-3871",51,17567.6,100,153.8,0.578,"0000-0003-1062-1081",,
"0041c062-eab8-4b6a-87ca-9dc4e006e89b","SJER_045.basePlot.cfc","D17","SJER","tower","2kN0Z0OxE8HrKU2Qmu4c9qyGJjwEw/YBgx2PAcfjwtY=",,"2019-03-21T20:16Z","2kN0Z0OxE8HrKU2Qmu4c9qyGJjwEw/YBRzb5bPfJnQsG88xbEce/Dw==",,"OK","2019-03-25T19:04Z","0000-0001-7920-7757",4.083,"2019-03-25T22:00Z","2019-04-02T21:09Z",2.134,"0000-0002-0287-3871",36,15914.9,100,134.1,0.523,"0000-0003-1062-1081",,
"1d702344-50e7-47ab-a0c6-bed01ccb4db7","SJER_045.basePlot.cfc","D17","SJER","tower","2kN0Z0OxE8Ght+vqSNjLJvuyEWgosBDJ64mf1a8wgMY=",,"2019-03-21T20:46Z","2kN0Z0OxE8Ght+vqSNjLJvuyEWgosBDJZMz2q32/CXc=",,"OK","2019-03-25T20:08Z","0000-0001-7920-7757",2.103,"2019-03-25T22:00Z","2019-04-02T21:17Z",0.669,"0000-0002-0287-3871",51,11653.8,100,57.4,0.318,"0000-0003-1062-1081",,
"eba67fdd-50dd-4d72-8160-63fe3560664d","SJER_004.basePlot.cfc","D17","SJER","distributed","2kN0Z0OxE8E6yoOagSqOSRtNLSrhl99uQ0RdgD9X3OE=",,"2019-03-26T15:29Z","2kN0Z0OxE8E6yoOagSqOSRtNLSrhl99uOu9qFSOI8zo=",,"OK","2019-03-27T20:26Z","0000-0001-5717-3867",4.470,"2019-03-29T00:00Z","2019-04-03T18:10Z",0.642,"0000-0001-5494-1832",30,16393.2,100,39.2,0.144,,,
"4298debe-225e-48d7-94af-2d103653562c","SJER_004.basePlot.cfc","D17","SJER","distributed","2kN0Z0OxE8HY/ANLaNM/Z9TQ8MtVrOUgeHOsKlcNqQc=",,"2019-03-26T16:00Z","2kN0Z0OxE8HY/ANLaNM/Z9TQ8MtVrOUgr5U6US2Yor1tHMcZDQX8BQ==",,"OK","2019-03-27T19:12Z","0000-0001-5717-3867",5.040,"2019-03-29T00:00Z","2019-04-03T18:27Z",1.781,"0000-0001-5494-1832",54,20419.6,100,87.2,0.353,,,
"8e4ab7e5-0f3e-405c-956d-081c261f26eb","SJER_005.basePlot.cfc","D17","SJER","distributed","2kN0Z0OxE8Hr/ST52veN+F/G0i29hKz+bdOTAX8+mww=",,"2019-03-26T17:15Z","2kN0Z0OxE8Hr/ST52veN+F/G0i29hKz+R5u7hHXvJdg=",,"OK","2019-03-28T15:45Z","0000-0001-7253-0439",1.737,"2019-03-29T00:00Z","2019-04-02T21:31Z",0.351,"0000-0002-0287-3871",29,7109.9,100,49.4,0.202,,,
"a5d8c995-9af0-4fa4-bed2-707954bd1ede","SJER_005.basePlot.cfc","D17","SJER","distributed","2kN0Z0OxE8GoTaF3l2eqwKj52kbWxr61oywLpDSGm6Y=",,"2019-03-26T17:53Z","2kN0Z0OxE8GoTaF3l2eqwKj52kbWxr61SnyiITE+Z8s=",,"OK","2019-03-28T15:26Z","0000-0001-7253-0439",2.334,"2019-03-29T00:00Z","2019-04-02T21:54Z",1.035,"0000-0002-0287-3871",32,6293.8,100,164.4,0.443,"0000-0002-0287-3871",,
"02b91784-4235-47c7-bc11-0733c33722fd","SJER_007.basePlot.cfc","D17","SJER","distributed","2kN0Z0OxE8ElZr6rYAw5km9PPEYuhOJY8zUsBFnwhxU=",,"2019-03-26T19:11Z","2kN0Z0OxE8ElZr6rYAw5km9PPEYuhOJYqcknX/F1ffs=",,"OK","2019-03-27T23:55Z","0000-0001-5717-3867",3.180,"2019-03-29T00:00Z","2019-04-03T18:15Z",0.823,"0000-0001-5494-1832",82,15530.1,100,53.0,0.259,"0000-0003-1062-1081",,
