uid,namedLocation,domainID,siteID,plotType,sampleID,sampleCode,collectDate,lmaSampleID,lmaSampleCode,lmaSampleCondition,scanDate,scannedBy,freshMass,ovenStartDate,ovenEndDate,dryMass,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,remarks,dataQF
"0294fed7-0977-47a1-a29e-4f533c79c519","BONA_009.basePlot.cfc","D19","BONA","distributed","7uHsYbyZiKYpIqVBjn617HtT0zdJWFRYZJtUNsLPdhs=","A00000100429","2019-07-30T19:27Z","7uHsYbyZiKYpIqVBjn617HtT0zdJWFRYKh10MUhGlQHnNM36YtSpZQ==","A00000100736","OK","2019-08-01T21:26Z","0000-0003-0373-3632",4.541,"2019-08-02T02:42Z","2019-08-06T16:20Z",1.979,"0000-0003-0373-3632",10,25298.6,100,78.2,0.436,"0000-0003-0373-3632",,
"576d4b85-391b-4541-a588-2377fa407a3e","BONA_002.basePlot.cfc","D19","BONA","distributed","7uHsYbyZiKarS7f4SCX5HZPalJChUODfK+bv2RaTHvE=","A00000100427","2019-07-30T21:04Z","7uHsYbyZiKarS7f4SCX5HZPalJChUODfZjtRch6hvnLKs5euSClWvQ==","A00000100739","OK","2019-08-01T19:46Z","0000-0003-0373-3632",3.029,"2019-08-02T02:42Z","2019-08-06T16:20Z",1.116,"0000-0003-0373-3632",13,20703.6,99,53.9,0.368,"0000-0003-0373-3632",,
"56c722de-c8e1-4573-bd2a-26db86984518","BONA_002.basePlot.cfc","D19","BONA","distributed","7uHsYbyZiKarS7f4SCX5HaDez9hoK2LZyeAyR1L4nR4=","A00000100428","2019-07-30T21:18Z","7uHsYbyZiKarS7f4SCX5HaDez9hoK2LZw0Iy3uNLN/KEvK9Y6sbONg==","A00000100737","OK","2019-08-01T20:49Z","0000-0003-0373-3632",3.015,"2019-08-02T02:42Z","2019-08-06T16:20Z",1.066,"0000-0003-0373-3632",13,19238.2,99,55.4,0.354,"0000-0003-0373-3632",,
"a806c856-8089-414c-9d81-64799fe3558e","BONA_002.basePlot.cfc","D19","BONA","distributed","7uHsYbyZiKbYHKIT5J66sJo290vFPfedeMYJE1irvss=","A00000100422","2019-07-30T21:25Z","7uHsYbyZiKbYHKIT5J66sJo290vFPfedUIqiYQhyxdA=","A00000100738","OK","2019-08-01T20:36Z","0000-0003-0373-3632",2.674,"2019-08-02T02:42Z","2019-08-06T16:20Z",1.209,"0000-0003-0373-3632",384,4784.0,100,252.7,0.452,"0000-0003-0373-3632",,
"8433ff02-e6e0-4a25-b05e-a5927960c8ec","BONA_002.basePlot.cfc","D19","BONA","distributed","7uHsYbyZiKZ4OUls7JENbxFm7ouhSBI4QrK+r3VWv3U=","A00000100413","2019-07-30T21:56Z","7uHsYbyZiKZ4OUls7JENbxFm7ouhSBI4+sg6PPzKCy7y6FIJkWCJPQ==","A00000100740","OK","2019-08-01T19:25Z","0000-0003-0373-3632",3.441,"2019-08-02T02:42Z","2019-08-06T16:20Z",1.392,"0000-0003-0373-3632",7,18111.8,100,76.9,0.405,"0000-0003-0373-3632",,
"b44eaa02-a76e-4332-8e48-af1420dcd95e","BONA_002.basePlot.cfc","D19","BONA","distributed","7uHsYbyZiKbYHKIT5J66sEtl1dxRSPgdKZ3RH4VpQC8=","A00000100421","2019-07-30T23:30Z","7uHsYbyZiKbYHKIT5J66sEtl1dxRSPgdAWsS4+IbcWc=","A00000100876","other","2019-08-06T23:38Z","0000-0003-0373-3632",1.360,"2019-08-06T23:45Z","2019-08-10T00:55Z",0.606,"0000-0003-0373-3632",149,2458.6,100,246.5,0.446,"0000-0003-0373-3632","Sample held at 4C for 7 days before processing but no decay observed.",
"8c62ac4b-038d-4581-9919-e6c2bf55abd9","BONA_093.basePlot.cfc","D19","BONA","tower","7uHsYbyZiKbckXNmhgGb+cW187dVOCdnoxmtj/Xu91M=","A00000100423","2019-07-31T18:20Z","7uHsYbyZiKbckXNmhgGb+cW187dVOCdnf4uH4RvutZE=","A00000100732","OK","2019-08-01T23:02Z","0000-0003-0373-3632",0.765,"2019-08-02T02:42Z","2019-08-06T16:20Z",0.375,"0000-0003-0373-3632",102,1808.7,99,207.3,0.490,"0000-0003-0373-3632",,
"d42ecafe-e7e7-4c2e-ae97-2e69e2030f2c","BONA_093.basePlot.cfc","D19","BONA","tower","7uHsYbyZiKbckXNmhgGb+XeHq+6C06KSeZF8qd2yRpQ=","A00000100424","2019-07-31T18:35Z","7uHsYbyZiKbckXNmhgGb+XeHq+6C06KSpIajnF7fXOA=","A00000100733","OK","2019-08-01T22:45Z","0000-0003-0373-3632",1.126,"2019-08-02T02:42Z","2019-08-06T16:20Z",0.530,"0000-0003-0373-3632",154,2560.4,100,207.0,0.471,"0000-0003-0373-3632",,
"6b30f160-65e5-4a3d-bea1-fa6bfb1210bc","BONA_093.basePlot.cfc","D19","BONA","tower","7uHsYbyZiKbckXNmhgGb+ZTo5YyCG+8+xxIVBhRYQEM=","A00000100425","2019-07-31T18:48Z","7uHsYbyZiKbckXNmhgGb+ZTo5YyCG+8+MKUFQK/1RfE=","A00000100734","OK","2019-08-01T22:23Z","0000-0003-0373-3632",1.689,"2019-08-02T02:42Z","2019-08-06T16:20Z",0.845,"0000-0003-0373-3632",233,3621.2,100,233.3,0.500,"0000-0003-0373-3632",,
"cace86f1-eec7-4aae-8e6b-8fd73e59a0ee","BONA_093.basePlot.cfc","D19","BONA","tower","7uHsYbyZiKbJt6v1K4IZpQQlSC6S4GjVmxBHHZFVrzU=","A00000100412","2019-07-31T18:58Z","7uHsYbyZiKbJt6v1K4IZpQQlSC6S4GjVu0R59Ufo5QYdFToAwsRXXQ==","A00000100735","OK","2019-08-01T22:03Z","0000-0003-0373-3632",4.778,"2019-08-02T02:42Z","2019-08-06T16:20Z",1.881,"0000-0003-0373-3632",7,23685.7,100,79.4,0.394,"0000-0003-0373-3632",,
