uid,namedLocation,domainID,siteID,plotType,sampleID,sampleCode,collectDate,lmaSampleID,lmaSampleCode,lmaSampleCondition,scanDate,scannedBy,freshMass,ovenStartDate,ovenEndDate,dryMass,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,remarks,dataQF
"aa41d52c-47a2-4e11-b0f6-91a80a0ebed2","PUUM_002.basePlot.cfc","D20","PUUM","distributed","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0j7UhrXsCp0Q=","A00000066452","2019-01-15T10:35Z","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm08VxzyF9vsli7+g+vjKnarw==",,"OK","2019-01-17T23:35Z","whendricks@battelleecology.org",12.020,"2019-01-18T02:00Z","2019-01-21T18:30Z",6.580,"lpetrauski@battelleecology.org",67,21321.1,95,308.6,0.547,"hfranz@battelleecology.org",,
"3a3a5c6e-fb25-4e46-b35b-c04275e65c2d","PUUM_002.basePlot.cfc","D20","PUUM","distributed","5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tSImpqFDp/1E=",,"2019-01-15T10:54Z","5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tbGGGJxofsPGrWWc/gaTCDQ==",,"OK","2019-01-18T00:10Z","whendricks@battelleecology.org",8.030,"2019-01-18T02:00Z","2019-01-21T18:30Z",4.410,"lpetrauski@battelleecology.org",58,14223.1,90,310.1,0.549,"hfranz@battelleecology.org",,
"05bff581-81f1-4de2-bc25-16e3f0a910ee","PUUM_013.basePlot.cfc","D20","PUUM","distributed","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBme+aBnSm0eU=","A00000066425","2019-01-15T12:46Z","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBAuHpzAal0M/bwWjqcF0tHA==",,"OK","2019-01-17T22:08Z","whendricks@battelleecology.org",10.340,"2019-01-18T02:00Z","2019-01-21T18:30Z",5.470,"lpetrauski@battelleecology.org",51,17206.2,98,317.9,0.529,"hfranz@battelleecology.org",,
"33a3eb85-fa97-4a9d-a4a2-9561e7be771b","PUUM_031.basePlot.cfc","D20","PUUM","tower","5DDwl49GZC0iHKZQbKj8NzstDcx0Uczttpg8yD7Gu+c=","A00000066426","2019-01-15T19:41Z","5DDwl49GZC0iHKZQbKj8NzstDcx0Uczt/gMipnLJNwk=",,"OK","2019-01-18T01:25Z","whendricks@battelleecology.org",8.110,"2019-01-18T02:00Z","2019-01-21T18:30Z",1.790,"lpetrauski@battelleecology.org",10,22599.3,95,79.2,0.221,"hfranz@battelleecology.org","95% green when sample was aquired in field",
"a17f3e94-dbb9-45be-9455-522b70c1e371","PUUM_031.basePlot.cfc","D20","PUUM","tower","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IP8p0hpdIfgqA=","A00000066430","2019-01-15T19:54Z","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IPWgb+p6Qk0IKROKrPdbXdng==",,"OK","2019-01-18T00:32Z","whendricks@battelleecology.org",9.250,"2019-01-18T02:00Z","2019-01-21T18:30Z",3.120,"lpetrauski@battelleecology.org",4,23012.7,97,135.6,0.337,"hfranz@battelleecology.org","Leaflets broken off petiole in upper portion of scan to fit",
"7e3c058a-e38c-4443-a474-ed8ecb931669","PUUM_002.basePlot.cfc","D20","PUUM","distributed","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAIcgktBKPsm0=","A00000066454","2019-01-15T19:57Z","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAMqGw2wA7Ts87ekqL2hdLDQ==",,"OK","2019-01-18T00:03Z","whendricks@battelleecology.org",9.850,"2019-01-18T02:00Z","2019-01-21T18:30Z",5.390,"lpetrauski@battelleecology.org",81,18311.2,85,294.4,0.547,"hfranz@battelleecology.org",,
"09609a34-13c3-4496-b6fe-6e71cb12eb5f","PUUM_031.basePlot.cfc","D20","PUUM","tower","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMEWnGhKPB4dA=","A00000066431","2019-01-15T20:22Z","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMedesdBPse//qHvvccp46Tg==",,"OK","2019-01-18T00:57Z","whendricks@battelleecology.org",7.950,"2019-01-18T02:00Z","2019-01-21T18:30Z",3.430,"lpetrauski@battelleecology.org",22,21673.3,96,158.3,0.431,"hfranz@battelleecology.org",,
"4558da62-017c-4232-b0cf-14a9f915ee27","PUUM_031.basePlot.cfc","D20","PUUM","tower","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKqXQHdbPe+q0=","A00000066433","2019-01-15T20:37Z","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AK68ExN56l9Y4=",,"OK","2019-01-18T00:50Z","whendricks@battelleecology.org",13.100,"2019-01-18T02:00Z","2019-01-21T18:30Z",4.570,"lpetrauski@battelleecology.org",9,22163.2,96,206.2,0.349,"hfranz@battelleecology.org",,
"9023339b-9ca7-4127-af60-899d7c4f81b1","PUUM_031.basePlot.cfc","D20","PUUM","tower","5DDwl49GZC0egSCBihpmH8uD6niHowh/UNKGzk0V7QA=","A00000066434","2019-01-15T21:05Z","5DDwl49GZC0egSCBihpmH8uD6niHowh/KAj1OmuXov8aWKhsl9HVig==",,"OK","2019-01-18T00:47Z","whendricks@battelleecology.org",11.790,"2019-01-18T02:00Z","2019-01-21T18:30Z",3.930,"lpetrauski@battelleecology.org",7,24252.5,100,162.0,0.333,"hfranz@battelleecology.org",,
"7da2f65f-7228-47cf-9952-df591c479d54","PUUM_031.basePlot.cfc","D20","PUUM","tower","5DDwl49GZC16cvqrf5CvnvbCrUMlpDkFq39fz/VEOts=","A00000066432","2019-01-15T21:35Z","5DDwl49GZC16cvqrf5CvnvbCrUMlpDkFH4JlLuZ6e54=",,"OK","2019-01-18T01:00Z","whendricks@battelleecology.org",8.080,"2019-01-18T02:00Z","2019-01-21T18:30Z",2.510,"lpetrauski@battelleecology.org",7,18725.6,99,134.0,0.311,"hfranz@battelleecology.org",,
